ID,city,postcode,state
314,BARROW CREEK,872,NT
315,BURT PLAIN,872,NT
316,CANTEEN CREEK,872,NT
317,CHILLA WELL,872,NT
318,COSTELLO,872,NT
319,DAVENPORT,872,NT
320,DOCKER RIVER,872,NT
321,ENGAWALA,872,NT
322,ERLDUNDA,872,NT
323,ERNABELLA,872,SA
324,FINKE,872,NT
325,FREGON,872,SA
326,GHAN,872,NT
327,GIBSON DESERT NORTH,872,WA
328,GIBSON DESERT SOUTH,872,WA
329,HAASTS BLUFF,872,NT
330,HALE,872,NT
331,HART,872,NT
332,HART RANGE,872,NT
333,HERMANNSBURG,872,NT
334,HUGH,872,NT
335,IMANPA,872,NT
336,INDULKANA,872,SA
337,ININTI STORE,872,NT
338,JAY CREEK,872,NT
339,KALTUKATJARA,872,NT
340,KINTORE,872,NT
341,KIWIRRKURRA,872,WA
342,KULGERA,872,NT
343,KUNPARRKA,872,NT
344,LAKE MACKAY,872,NT
345,LARAMBA,872,NT
346,MEREENIE,872,NT
347,MIMILI,872,SA
348,MOUNT LIEBIG,872,NT
349,MOUNT ZEIL,872,NT
350,MULGA BORE,872,NT
351,MURPUTJA HOMELANDS,872,SA
352,MUTITJULU,872,NT
353,NAMATJIRA,872,NT
354,NGAANYATJARRA-GILES,872,WA
355,NYAPARI,872,SA
356,NYIRRIPI,872,NT
357,PAPUNYA,872,NT
358,PATJARR,872,WA
359,PETERMANN,872,NT
360,PITJANTJATJARA HOMELANDS,872,SA
361,SANDOVER,872,NT
362,SANTA TERESA,872,NT
363,SIMPSON,872,NT
364,TANAMI,872,NT
365,TARA,872,NT
366,THANGKENHARENGE,872,NT
367,TI TREE,872,NT
368,TITJIKALA,872,NT
369,TJIRRKARLI,872,WA
370,TJUKURLA,872,WA
371,ULURU,872,NT
372,UMPANGARA,872,NT
373,URAPUNTJA,872,NT
374,WALLACE ROCKHOLE,872,NT
375,WANNARN,872,WA
376,WILLOWRA,872,NT
377,WILORA,872,NT
378,WINGELLINA,872,WA
379,WUTUNUGURRA,872,NT
380,YUELAMU,872,NT
381,YUENDUMU,872,NT
382,YULARA,872,NT
383,GAPUWIYAK,880,NT
384,GOVE,880,NT
385,GUNYANGARA,880,NT
386,NHULUNBUY,880,NT
387,YIRRKALA,880,NT
388,NHULUNBUY,881,NT
389,ALYANGULA,885,NT
390,JABIRU,886,NT
391,WINNELLIE,906,NT
392,WINNELLIE,907,NT
393,ALEXANDRIA MC,2004,NSW
394,EASTERN SUBURBS MC,2004,NSW
395,HMAS KUTTABUL,2011,NSW
396,HMAS RUSHCUTTERS,2027,NSW
397,HMAS WATSON,2030,NSW
398,NORTHERN SUBURBS MC,2058,NSW
399,HMAS PLATYPUS,2060,NSW
400,HMAS WATERHEN,2060,NSW
401,ROYAL NORTH SHORE HOSPITAL,2065,NSW
402,COGRA BAY,2083,NSW
403,DANGAR ISLAND,2083,NSW
404,MILSONS PASSAGE,2083,NSW
405,COTTAGE POINT,2084,NSW
406,WARRIEWOOD SHOPPING SQUARE,2102,NSW
407,ELVINA BAY,2105,NSW
408,LOVETT BAY,2105,NSW
409,MORNING BAY,2105,NSW
410,SCOTLAND ISLAND,2105,NSW
411,COASTERS RETREAT,2108,NSW
412,GREAT MACKEREL BEACH,2108,NSW
413,BLENHEIM ROAD,2113,NSW
414,MACQUARIE CENTRE,2113,NSW
415,CONCORD REPATRIATION HOSPITAL,2139,NSW
416,BLACKTOWN WESTPOINT,2148,NSW
417,LIVERPOOL WESTFIELD,2170,NSW
418,LEN WATERS ESTATE,2171,NSW
419,MIDDLETON GRANGE,2171,NSW
420,INGLEBURN MILPO,2174,NSW
421,BANKSTOWN AERODROME,2200,NSW
422,MARRICKVILLE METRO,2204,NSW
423,SYLVANIA SOUTHGATE,2224,NSW
424,BUNDEENA,2230,NSW
425,MAIANBAR,2230,NSW
426,AUDLEY,2232,NSW
427,GARIE,2232,NSW
428,BUCKETTY,2250,NSW
429,CENTRAL MANGROVE,2250,NSW
430,GLENWORTH VALLEY,2250,NSW
431,GREENGROVE,2250,NSW
432,KULNURA,2250,NSW
433,LOWER MANGROVE,2250,NSW
434,MANGROVE CREEK,2250,NSW
435,MANGROVE MOUNTAIN,2250,NSW
436,PEATS RIDGE,2250,NSW
437,SOMERSBY,2250,NSW
438,TEN MILE HOLLOW,2250,NSW
439,UPPER MANGROVE,2250,NSW
440,CENTRAL COAST MC,2252,NSW
441,PALM GROVE,2258,NSW
442,CEDAR BRUSH CREEK,2259,NSW
443,DOORALONG,2259,NSW
444,DURREN DURREN,2259,NSW
445,LEMON TREE,2259,NSW
446,LITTLE JILLIBY,2259,NSW
447,RAVENSDALE,2259,NSW
448,YARRAMALONG,2259,NSW
449,MANDALONG,2264,NSW
450,HILLSBOROUGH,2290,NSW
451,CARRINGTON,2294,NSW
452,NEWCASTLE UNIVERSITY,2308,NSW
453,DANGAR,2309,NSW
454,HUNTER REGION MC,2310,NSW
455,ALLYNBROOK,2311,NSW
456,BINGLEBURRA,2311,NSW
457,CARRABOLLA,2311,NSW
458,EAST GRESFORD,2311,NSW
459,ECCLESTON,2311,NSW
460,GRESFORD,2311,NSW
461,HALTON,2311,NSW
462,LEWINSBROOK,2311,NSW
463,LOSTOCK,2311,NSW
464,MOUNT RIVERS,2311,NSW
465,UPPER ALLYN,2311,NSW
466,WILLIAMTOWN RAAF,2314,NSW
467,GLEN OAK,2320,NSW
468,CLARENCE TOWN,2321,NSW
469,GLEN MARTIN,2321,NSW
470,GLEN WILLIAM,2321,NSW
471,BLACK HILL,2322,NSW
472,METFORD DC,2323,NSW
473,LIMEBURNERS CREEK,2324,NSW
474,CONGEWAI,2325,NSW
